Structure,extinction_coefficient,C,H,N,O,S,Cl,CH3,SO3,Benzene,C Chain,COOH,N Rings,O Rings,C links
DY-405,32000,24,20,1,13,3.0,0.0,0.0,3.0,4.0,0,1.0,0.0,0.0,1.0
DY-410,34000,16,15,1,9,1.0,1.0,0.0,1.0,1.0,0,1.0,0.0,1.0,1.0
Dy-415,34000,20,25,2,8,1.0,0.0,1.0,1.0,1.0,0,1.0,0.0,1.0,1.0
Dy-430,35000,25,31,2,8,1.0,0.0,3.0,1.0,1.0,0,1.0,1.0,1.0,1.0
Dy-431,35000,25,30,2,11,2.0,0.0,2.0,2.0,1.0,0,1.0,1.0,1.0,2.0
Dy-478_NHS-Ester,90000,31,35,4,5,1.0,0.0,4.0,0.0,2.0,0,1.0,1.0,1.0,1.0
Dy-490,73000,24,22,3,13,3.0,0.0,0.0,3.0,3.0,0,2.0,0.0,1.0,1.0
Dy-495,70000,27,24,1,8,0.0,1.0,0.0,0.0,3.0,0,2.0,0.0,1.0,1.0
Dy-505,80000,27,26,3,6,0.0,1.0,0.0,0.0,3.0,0,2.0,0.0,1.0,1.0
Dy-530,100000,31,34,3,10,2.0,0.0,1.0,2.0,3.0,0,1.0,0.0,1.0,3.0
Dy-546,100000,33,36,3,10,2.0,2.0,3.0,2.0,3.0,0,1.0,0.0,1.0,3.0
Dy-547P1,150000,32,31,2,9,2.0,0.0,5.0,2.0,2.0,4,1.0,2.0,0.0,2.0
Dy-548P1,150000,34,42,2,12,2.0,0.0,4.0,3.0,2.0,4,1.0,2.0,0.0,3.0
Dy-549P1,150000,36,45,2,15,4.0,0.0,3.0,4.0,2.0,4,1.0,2.0,0.0,4.0
Dy-550,120000,32,42,3,9,1.0,0.0,5.0,1.0,1.0,3,1.0,1.0,0.0,2.0
Dy-554,100000,31,34,3,6,0.0,1.0,4.0,0.0,3.0,0,2.0,0.0,1.0,1.0
Dy-555,100000,35,42,3,6,0.0,1.0,4.0,0.0,3.0,0,2.0,0.0,1.0,1.0
Dy-556,100000,36,42,3,9,1.0,0.0,3.0,1.0,3.0,0,1.0,0.0,1.0,1.0
Dy-557,100000,37,43,3,12,2.0,0.0,2.0,2.0,3.0,0,1.0,0.0,1.0,3.0
Dy-560,120000,33,41,3,8,2.0,0.0,4.0,1.0,3.0,0,1.0,0.0,1.0,1.0
Dy-580,100000,33,31,2,5,2.0,0.0,0.0,0.0,3.0,0,2.0,4.0,1.0,0.0
Dy-585,120000,39,46,3,10,2.0,0.0,4.0,2.0,3.0,0,1.0,1.0,1.0,3.0
Dy-590,120000,37,41,3,8,2.0,0.0,0.0,1.0,3.0,0,1.0,4.0,1.0,1.0
Dy-591,120000,38,43,3,10,2.0,0.0,0.0,1.0,3.0,0,1.0,4.0,1.0,1.0
Dy-605,110000,43,53,5,14,4.0,0.0,5.0,4.0,3.0,0,1.0,2.0,1.0,3.0
Dy-610,80000,32,42,3,9,1.0,0.0,5.0,1.0,1.0,3,1.0,1.0,1.0,2.0
Dy-615,200000,32,38,2,6,1.0,0.0,5.0,1.0,2.0,4,1.0,1.0,1.0,1.0
Dy-630,200000,36,46,2,6,1.0,0.0,7.0,1.0,2.0,4,1.0,1.0,1.0,1.0
Dy-631,200000,36,45,2,9,2.0,0.0,6.0,2.0,2.0,4,1.0,1.0,1.0,2.0
Dy-632,200000,37,46,2,12,3.0,0.0,4.0,3.0,2.0,4,1.0,1.0,1.0,2.0
Dy-633,200000,37,47,2,9,2.0,0.0,6.0,2.0,2.0,4,1.0,1.0,1.0,2.0
Dy-634,200000,38,47,2,15,4.0,0.0,4.0,4.0,2.0,4,1.0,1.0,1.0,4.0
Dy-635,200000,38,46,2,6,1.0,0.0,5.0,1.0,2.0,4,1.0,3.0,1.0,1.0
Dy-636,200000,38,45,2,9,2.0,0.0,4.0,2.0,2.0,4,1.0,3.0,1.0,2.0
Dy-641,80000,35,39,3,12,2.0,0.0,3.0,2.0,2.0,3,1.0,1.0,1.0,2.0
Dy-643,80000,36,41,3,13,2.0,0.0,4.0,2.0,2.0,3,1.0,1.0,1.0,2.0
Dy-647P1,250000,34,41,2,9,2.0,0.0,5.0,2.0,2.0,6,1.0,2.0,0.0,1.0
Dy-648P1,250000,36,44,2,12,3.0,0.0,4.0,3.0,2.0,6,1.0,2.0,0.0,3.0
Dy-649P1,250000,38,47,2,15,4.0,0.0,3.0,4.0,2.0,6,1.0,2.0,0.0,4.0
Dy-650,220000,40,50,2,6,1.0,9.0,9.0,1.0,2.0,4,1.0,2.0,1.0,1.0
Dy-651,220000,40,49,2,9,2.0,0.0,8.0,2.0,2.0,4,1.0,2.0,1.0,1.0
Dy-652,220000,41,50,2,12,3.0,0.0,7.0,3.0,2.0,4,1.0,2.0,1.0,3.0
Dy-654,220000,41,49,2,15,4.0,0.0,6.0,4.0,2.0,4,1.0,2.0,1.0,3.0
Dy-660P1,200000,40,45,2,15,4.0,0.0,4.0,4.0,3.0,6,1.0,2.0,0.0,3.0
Dy-675,180000,42,46,2,6,1.0,0.0,6.0,1.0,3.0,5,1.0,2.0,1.0,1.0
